Index	Desc	TitleID	ZhanJi	ItemID1	IsBind1	ItemNum1	ItemID2	IsBind2	ItemNum2	ItemID3	IsBind3	ItemNum3	ItemID4	IsBind4	ItemNum4	ItemID5	IsBind5	ItemNum5	ItemID6	IsBind6	ItemNum6	ItemID7	IsBind7	ItemNum7	ItemID8	IsBind8	ItemNum8	ItemID9	IsBind9	ItemNum9	ItemID10	IsBind10	ItemNum10
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Hash;																																	
#奖励	程序不读	称号ID	战绩	物品ID1	类型1	数量1	物品ID2	类型2	数量2	物品ID3	类型3	数量3	物品ID4	类型4	数量4	物品ID5	类型5	数量5	物品ID6	类型6	数量6	物品ID7	类型7	数量7	物品ID8	类型8	数量8	物品ID9	类型9	数量9	物品ID10	类型10	数量10
1		25	32	50035	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
2		25	32	50036	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
3		25	32	50037	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
4		25	32	50038	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
5		25	32	50039	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
6		25	32	50040	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
7		25	32	50041	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
8		25	32	50042	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
9		26	24	50043	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
10		26	24	50044	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
11		26	24	50045	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
12		26	24	50046	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
13		26	24	50047	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
