Id	Desc	Vlue
INT	STRING	INT
#MAX_ID=999999;MAX_RECORD=1024;TableType=Hash;		
#ID	描述	金币
0	没用	1
1	没用	550
2	没用	500
3	没用	450
4	没用	400
5	没用	350
6	没用	340
7	没用	330
8	没用	320
9	没用	310
10	没用	300
11	没用	300
12	没用	300
13	没用	300
14	没用	300
15	没用	300
16	没用	300
17	没用	300
18	没用	300
19	没用	300
20	没用	300
21	没用	250
22	没用	250
23	没用	250
24	没用	250
25	没用	250
26	没用	250
27	没用	250
28	没用	250
29	没用	250
30	没用	250
31	没用	160
32	没用	160
33	没用	160
34	没用	160
35	没用	160
36	没用	160
37	没用	160
38	没用	160
39	没用	160
40	没用	160
41	没用	130
42	没用	130
43	没用	130
44	没用	130
45	没用	130
46	没用	130
47	没用	130
48	没用	130
49	没用	130
50	没用	130
51	没用	100
52	没用	100
53	没用	100
54	没用	100
55	没用	100
56	没用	100
57	没用	100
58	没用	100
59	没用	100
60	没用	100
61	没用	100
62	没用	100
63	没用	100
64	没用	100
65	没用	100
66	没用	100
67	没用	100
68	没用	100
69	没用	100
70	没用	100
71	没用	100
72	没用	100
73	没用	100
74	没用	100
75	没用	100
76	没用	100
77	没用	100
78	没用	100
79	没用	100
80	没用	100
81	没用	100
82	没用	100
83	没用	100
84	没用	100
85	没用	100
86	没用	100
87	没用	100
88	没用	100
89	没用	100
90	没用	100
91	没用	100
92	没用	100
93	没用	100
94	没用	100
95	没用	100
96	没用	100
97	没用	100
98	没用	100
99	没用	100
100	没用	100
101	没用	90
102	没用	90
103	没用	90
104	没用	90
105	没用	90
106	没用	90
107	没用	90
108	没用	90
109	没用	90
110	没用	90
111	没用	90
112	没用	90
113	没用	90
114	没用	90
115	没用	90
116	没用	90
117	没用	90
118	没用	90
119	没用	90
120	没用	90
121	没用	90
122	没用	90
123	没用	90
124	没用	90
125	没用	90
126	没用	90
127	没用	90
128	没用	90
129	没用	90
130	没用	90
131	没用	90
132	没用	90
133	没用	90
134	没用	90
135	没用	90
136	没用	90
137	没用	90
138	没用	90
139	没用	90
140	没用	90
141	没用	90
142	没用	90
143	没用	90
144	没用	90
145	没用	90
146	没用	90
147	没用	90
148	没用	90
149	没用	90
150	没用	90
151	没用	90
152	没用	90
153	没用	90
154	没用	90
155	没用	90
156	没用	90
157	没用	90
158	没用	90
159	没用	90
160	没用	90
161	没用	90
162	没用	90
163	没用	90
164	没用	90
165	没用	90
166	没用	90
167	没用	90
168	没用	90
169	没用	90
170	没用	90
171	没用	90
172	没用	90
173	没用	90
174	没用	90
175	没用	90
176	没用	90
177	没用	90
178	没用	90
179	没用	90
180	没用	90
181	没用	90
182	没用	90
183	没用	90
184	没用	90
185	没用	90
186	没用	90
187	没用	90
188	没用	90
189	没用	90
190	没用	90
191	没用	90
