Id	Desc	Name	Level	BaseClass	AttrClass	MaxHP	MaxMP	PysAttack	MagAttack	PysDef	MagDef	Hit	Dodge	Critical	Decritical	Strike	Ductical	CritiAdd	CritiMis	EffectID
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;																				
#ID	程序不读	宝石名称	等级	攻防类型（1攻击 2防御）	属性类型（1血宝石 2法术宝石 3物攻宝石 4法攻宝石 5物防宝石 6法防宝石 7命中宝石 8闪避宝石 9暴击宝石 10暴抗宝石 11穿透宝石 12韧性宝石 13暴击伤害加成宝石 14暴击伤害减免宝石）	血上限	蓝上限	物理攻击	法术攻击	物理防御	法术防御	命中	闪避	暴击	暴击抗性	穿透	韧性	暴击伤害加成	暴击伤害减免	特效ID
8001		1级HP宝石	1	2	1	898	0	0	0	0	0	0	0	0	0	0	0	0	0	105
8002		2级HP宝石	2	2	1	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	105
8003		3级HP宝石	3	2	1	2571	0	0	0	0	0	0	0	0	0	0	0	0	0	106
8004		4级HP宝石	4	2	1	4231	0	0	0	0	0	0	0	0	0	0	0	0	0	106
8005		5级HP宝石	5	2	1	6333	0	0	0	0	0	0	0	0	0	0	0	0	0	106
8006		6级HP宝石	6	2	1	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	107
8007		7级HP宝石	7	2	1	11726	0	0	0	0	0	0	0	0	0	0	0	0	0	107
8008		8级HP宝石	8	2	1	14970	0	0	0	0	0	0	0	0	0	0	0	0	0	107
8009		9级HP宝石	9	2	1	18556	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8010		10级HP宝石	10	2	1	22471	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8011		11级HP宝石	11	2	1	80108	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8012		12级HP宝石	12	2	1	124965	0	0	0	0	0	0	0	0	0	0	0	0	0	108
8201		1级MP宝石	1	1	2	0	224	0	0	0	0	0	0	0	0	0	0	0	0	109
8202		2级MP宝石	2	1	2	0	353	0	0	0	0	0	0	0	0	0	0	0	0	109
8203		3级MP宝石	3	1	2	0	642	0	0	0	0	0	0	0	0	0	0	0	0	110
8204		4级MP宝石	4	1	2	0	1057	0	0	0	0	0	0	0	0	0	0	0	0	110
8205		5级MP宝石	5	1	2	0	1583	0	0	0	0	0	0	0	0	0	0	0	0	110
8206		6级MP宝石	6	1	2	0	2210	0	0	0	0	0	0	0	0	0	0	0	0	111
8207		7级MP宝石	7	1	2	0	2931	0	0	0	0	0	0	0	0	0	0	0	0	111
8208		8级MP宝石	8	1	2	0	3742	0	0	0	0	0	0	0	0	0	0	0	0	111
8209		9级MP宝石	9	1	2	0	4639	0	0	0	0	0	0	0	0	0	0	0	0	112
8210		10级MP宝石	10	1	2	0	5617	0	0	0	0	0	0	0	0	0	0	0	0	112
8211		11级MP宝石	11	1	2	0	20027	0	0	0	0	0	0	0	0	0	0	0	0	112
8212		12级MP宝石	12	1	2	0	31241	0	0	0	0	0	0	0	0	0	0	0	0	112
8301		1级物攻宝石	1	1	3	0	0	149	0	0	0	0	0	0	0	0	0	0	0	117
8302		2级物攻宝石	2	1	3	0	0	235	0	0	0	0	0	0	0	0	0	0	0	117
8303		3级物攻宝石	3	1	3	0	0	428	0	0	0	0	0	0	0	0	0	0	0	118
8304		4级物攻宝石	4	1	3	0	0	705	0	0	0	0	0	0	0	0	0	0	0	118
8305		5级物攻宝石	5	1	3	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	118
8306		6级物攻宝石	6	1	3	0	0	1473	0	0	0	0	0	0	0	0	0	0	0	119
8307		7级物攻宝石	7	1	3	0	0	1953	0	0	0	0	0	0	0	0	0	0	0	119
8308		8级物攻宝石	8	1	3	0	0	2494	0	0	0	0	0	0	0	0	0	0	0	119
8309		9级物攻宝石	9	1	3	0	0	3091	0	0	0	0	0	0	0	0	0	0	0	120
8310		10级物攻宝石	10	1	3	0	0	3744	0	0	0	0	0	0	0	0	0	0	0	120
8311		11级物攻宝石	11	1	3	0	0	13347	0	0	0	0	0	0	0	0	0	0	0	151
8312		12级物攻宝石	12	1	3	0	0	20820	0	0	0	0	0	0	0	0	0	0	0	152
8401		1级魔攻宝石	1	1	4	0	0	0	149	0	0	0	0	0	0	0	0	0	0	109
8402		2级魔攻宝石	2	1	4	0	0	0	235	0	0	0	0	0	0	0	0	0	0	109
8403		3级魔攻宝石	3	1	4	0	0	0	428	0	0	0	0	0	0	0	0	0	0	110
8404		4级魔攻宝石	4	1	4	0	0	0	705	0	0	0	0	0	0	0	0	0	0	110
8405		5级魔攻宝石	5	1	4	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	110
8406		6级魔攻宝石	6	1	4	0	0	0	1473	0	0	0	0	0	0	0	0	0	0	111
8407		7级魔攻宝石	7	1	4	0	0	0	1953	0	0	0	0	0	0	0	0	0	0	111
8408		8级魔攻宝石	8	1	4	0	0	0	2494	0	0	0	0	0	0	0	0	0	0	111
8409		9级魔攻宝石	9	1	4	0	0	0	3091	0	0	0	0	0	0	0	0	0	0	112
8410		10级魔攻宝石	10	1	4	0	0	0	3744	0	0	0	0	0	0	0	0	0	0	112
8411		11级魔攻宝石	11	1	4	0	0	0	13347	0	0	0	0	0	0	0	0	0	0	147
8412		12级魔攻宝石	12	1	4	0	0	0	20820	0	0	0	0	0	0	0	0	0	0	148
