Id	NpcName	ItemAID	ItemACount
INT	STRING	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;			
#索引	策划维护	递交物品1	递交物品1数量
1	任务1	-1	0
2	任务5	-1	0
3	任务7	-1	0
4	任务10	-1	0
5	任务15	-1	0
6	任务21	-1	0
7	任务35	-1	0
8	任务47	-1	0
9	任务41	-1	0
10	任务51	-1	0
11	任务58	-1	0
12	任务65	-1	0
13	任务67	-1	0
14	任务68	-1	0
15	任务69	-1	0
16	任务73	-1	0
17	任务77	-1	0
18	任务79	-1	0
19	任务80	-1	0
20	任务83	-1	0
21	任务84	-1	0
22	任务88	-1	0
23	任务90	-1	0
24	任务93	-1	0
25	任务96	-1	0
26	任务100	-1	0
27	任务102	-1	0
28	任务103	-1	0
29	任务106	-1	0
30	任务110	-1	0
31	任务116	-1	0
32	任务121	-1	0
33	任务127	-1	0
34	任务129	-1	0
35	任务134	-1	0
36	任务138	-1	0
37	任务140	-1	0
38	任务147	-1	0
39	【主】血色冰封	-1	0
40	【主】翘学少女	-1	0
41	【主】坏消息	-1	0
42	【主】少女同行	-1	0
43	【主】回报成效	-1	0
44	【主】回程	-1	0
45	【主】再回冰封	-1	0
46	【主】担心安危	-1	0
47	【主】请求支援	-1	0
48	【主】又见贵妇	-1	0
49	【主】通知计划	-1	0
50	【主】前往要塞	-1	0
51	【主】追缉	-1	0
52	【主】报告	-1	0
53	【主】允许帮忙	-1	0
54	【主】出发之前	-1	0
55	【主】目击证人	-1	0
56	【主】遗忘废墟	-1	0
57	【支】再会佣兵	-1	0
58	【支】少女长老	-1	0
59	【支】询问旅人	-1	0
60	【支】求助长老	-1	0
61	【支】询问现状	-1	0
62	【支】担心伙伴	-1	0
63	【支】鬼祟之人	-1	0
64	【支】结伴	-1	0
65	【支】回程	-1	0
66	【环】问候	-1	0
67	【环】问候	-1	0
68	【环】问候	-1	0
69	【环】问候	-1	0
70	【环】问候	-1	0
71	【环】问候	-1	0
72	【环】问候	-1	0
73	【环】问候	-1	0
74	【环】问候	-1	0
75	【环】问候	-1	0
76	【环】问候	-1	0
77	【环】问候	-1	0
78	【环】问候	-1	0
79	【环】问候	-1	0
80	【环】问候	-1	0
81	【环】问候	-1	0
82	【环】问候	-1	0
83	【环】问候	-1	0
84	【支】回程	-1	0
85	【环】问候	-1	0
86	【环】问候	-1	0
87	【环】问候	-1	0
88	【主】饥肠辘辘	-1	0
89	 【主】饥肠辘辘 	-1	0
90	 【主】饥肠辘辘 	-1	0
91	 【主】饥肠辘辘 	-1	0
