Id	Desc	ProfessID	ItemID	MaxChangeNum	Price	ConsumItemID
INT	STRING	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;						
#商品ID	描述	职业ID（0:少林;1:天山;2:大理;3:逍遥;4:丐帮;）	物品ID(对应CommonID表ID)	最大兑换数量	消耗功绩	消耗物品
1	少林套·精舍衣(80级)	0	42208	99	5	59374
2	少林套·大乘衣（90级）	0	42209	99	15	59374
3	少林套·佛语衣（100级	0	42210	99	30	59374
4	少林套·精舍裤(80级)	0	42308	99	5	59374
5	少林套·大乘裤（90级）	0	42309	99	15	59374
6	少林套·佛语裤（100级	0	42310	99	30	59374
7	少林套·精舍靴(80级)	0	42408	99	5	59374
8	少林套·大乘靴（90级）	0	42409	99	15	59374
9	少林套·佛语靴（100级	0	42410	99	30	59374
10	少林套·精舍腕(80级)	0	42508	99	5	59374
11	少林套·大乘腕（90级）	0	42509	99	15	59374
12	少林套·佛语腕（100级	0	42510	99	30	59374
13	少林套·精舍(80级)	0	42608	99	6	59374
14	少林套·大乘（90级）	0	42609	99	18	59374
15	少林套·佛语（100级	0	42610	99	36	59374
16	天山套·无相衣(80级)	1	43208	99	5	59374
17	天山套·同生衣（90级）	1	43209	99	15	59374
18	天山套·融雪衣（100级）	1	43210	99	30	59374
19	天山套·无相裤(80级)	1	43308	99	5	59374
20	天山套·同生裤（90级）	1	43309	99	15	59374
21	天山套·融雪裤（100级）	1	43310	99	30	59374
22	天山套·无相靴(80级)	1	43408	99	5	59374
23	天山套·同生靴（90级）	1	43409	99	15	59374
24	天山套·融雪靴（100级）	1	43410	99	30	59374
25	天山套·无相腕(80级)	1	43508	99	5	59374
26	天山套·同生腕（90级）	1	43509	99	15	59374
27	天山套·融雪腕（100级）	1	43510	99	30	59374
28	天山套·无相(80级)	1	43608	99	6	59374
29	天山套·同生（90级）	1	43609	99	18	59374
30	天山套·融雪（100级）	1	43610	99	36	59374
31	逍遥套·八荒衣(80级)	3	44208	99	5	59374
32	逍遥套·六合衣（90级）	3	44209	99	15	59374
33	逍遥套·纯阳衣（100级）	3	44210	99	30	59374
34	逍遥套·八荒裤(80级)	3	44308	99	5	59374
35	逍遥套·六合裤（90级）	3	44309	99	15	59374
36	逍遥套·纯阳裤（100级）	3	44310	99	30	59374
37	逍遥套·八荒靴(80级)	3	44408	99	5	59374
38	逍遥套·六合靴（90级）	3	44409	99	15	59374
39	逍遥套·纯阳靴（100级）	3	44410	99	30	59374
40	逍遥套·八荒腕(80级)	3	44508	99	5	59374
41	逍遥套·六合腕（90级）	3	44509	99	15	59374
42	逍遥套·纯阳腕（100级）	3	44510	99	30	59374
43	逍遥套·八荒(80级)	3	44608	99	6	59374
44	逍遥套·六合（90级）	3	44609	99	18	59374
45	逍遥套·纯阳（100级）	3	44610	99	36	59374
46	大理套·龙渊衣(80级)	2	45208	99	5	59374
47	大理套·轩辕衣（90级）	2	45209	99	15	59374
48	大理套·神女衣（100级）	2	45210	99	30	59374
49	大理套·龙渊裤(80级)	2	45308	99	5	59374
50	大理套·轩辕裤（90级）	2	45309	99	15	59374
51	大理套·神女裤（100级）	2	45310	99	30	59374
52	大理套·龙渊靴(80级)	2	45408	99	5	59374
53	大理套·轩辕靴（90级）	2	45409	99	15	59374
54	大理套·神女靴（100级）	2	45410	99	30	59374
55	大理套·龙渊腕(80级)	2	45508	99	5	59374
56	大理套·轩辕腕（90级）	2	45509	99	15	59374
57	大理套·神女腕（100级）	2	45510	99	30	59374
58	大理套·龙渊(80级)	2	45608	99	6	59374
59	大理套·轩辕（90级）	2	45609	99	18	59374
60	大理套·神女（100级）	2	45610	99	36	59374
61	丐帮套·亢龙衣(80级)	4	66208	99	5	59374
62	丐帮套·龙战衣（90级）	4	66209	99	15	59374
63	丐帮套·排云衣（100级）	4	66210	99	30	59374
64	丐帮套·亢龙裤(80级)	4	66308	99	5	59374
65	丐帮套·龙战裤（90级）	4	66309	99	15	59374
66	丐帮套·排云裤（100级）	4	66310	99	30	59374
67	丐帮套·亢龙靴(80级)	4	66408	99	5	59374
68	丐帮套·龙战靴（90级）	4	66409	99	15	59374
69	丐帮套·排云靴（100级）	4	66410	99	30	59374
70	丐帮套·亢龙腕(80级)	4	66508	99	5	59374
71	丐帮套·龙战腕（90级）	4	66509	99	15	59374
72	丐帮套·排云腕（100级）	4	66510	99	30	59374
73	丐帮套·亢龙(80级)	4	66608	99	6	59374
74	丐帮套·龙战（90级）	4	66609	99	18	59374
75	丐帮套·排云（100级）	4	66610	99	36	59374
