Id	Desc	ExpLimit
INT	STRING	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;		
#ID	程序不读	人物每天获得经验上限
1		999999999
2		999999999
3		999999999
4		999999999
5		999999999
6		999999999
7		999999999
8		999999999
9		999999999
10		999999999
11		999999999
12		999999999
13		999999999
14		999999999
15		999999999
16		999999999
17		999999999
18		999999999
19		999999999
20		999999999
21		999999999
22		999999999
23		999999999
24		999999999
25		999999999
26		999999999
27		999999999
28		999999999
29		999999999
30		999999999
31		999999999
32		999999999
33		999999999
34		999999999
35		999999999
36		999999999
37		999999999
38		999999999
39		999999999
40		999999999
41		999999999
42		999999999
43		999999999
44		999999999
45		999999999
46		999999999
47		999999999
48		999999999
49		999999999
50		999999999
51		999999999
52		999999999
53		999999999
54		999999999
55		999999999
56		999999999
57		999999999
58		999999999
59		999999999
60		999999999
61		999999999
62		999999999
63		999999999
64		999999999
65		999999999
66		999999999
67		999999999
68		999999999
69		999999999
70		999999999
71		999999999
72		999999999
73		999999999
74		999999999
75		999999999
76		999999999
77		999999999
78		999999999
79		999999999
80		999999999
81		999999999
82		999999999
83		999999999
84		999999999
85		999999999
86		999999999
87		999999999
88		999999999
89		999999999
90		999999999
91		999999999
92		999999999
93		999999999
94		999999999
95		999999999
96		999999999
97		999999999
98		999999999
99		999999999
100		999999999
101		999999999
102		999999999
103		999999999
104		999999999
105		999999999
106		999999999
107		999999999
108		999999999
109		999999999
110		999999999
111		999999999
112		999999999
113		999999999
114		999999999
115		999999999
116		999999999
